Gene	"Gene description"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"
ABCB6	"ATP binding cassette subfamily B member 6 (Langereis blood group)"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ABCC1	"ATP binding cassette subfamily C member 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ABCC11	"ATP binding cassette subfamily C member 11"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ABCC2	"ATP binding cassette subfamily C member 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ABCC3	"ATP binding cassette subfamily C member 3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ABCC4	"ATP binding cassette subfamily C member 4"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ABCC5	"ATP binding cassette subfamily C member 5"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ABCC8	"ATP binding cassette subfamily C member 8"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ABCC9	"ATP binding cassette subfamily C member 9"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ABCD1	"ATP binding cassette subfamily D member 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ABCD2	"ATP binding cassette subfamily D member 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ABCD3	"ATP binding cassette subfamily D member 3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ABCG1	"ATP binding cassette subfamily G member 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ABCG2	"ATP binding cassette subfamily G member 2 (Junior blood group)"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ABCG5	"ATP binding cassette subfamily G member 5"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ABCG8	"ATP binding cassette subfamily G member 8"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ABHD12	"Abhydrolase domain containing 12, lysophospholipase"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ABHD14A-ACY1	"ABHD14A-ACY1 readthrough"	"Evidence at protein level"	"Evidence at protein level"		
ABHD5	"Abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ABHD6	"Abhydrolase domain containing 6, acylglycerol lipase"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ABO	"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"	"Evidence at transcript level"	"Evidence at transcript level"		
ABTB2	"Ankyrin repeat and BTB domain containing 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"
ACAA1	"Acetyl-CoA acyltransferase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACAA2	"Acetyl-CoA acyltransferase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACACA	"Acetyl-CoA carboxylase alpha"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACACB	"Acetyl-CoA carboxylase beta"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACAD10	"Acyl-CoA dehydrogenase family member 10"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACAD11	"Acyl-CoA dehydrogenase family member 11"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACAD8	"Acyl-CoA dehydrogenase family member 8"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACAD9	"Acyl-CoA dehydrogenase family member 9"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACADL	"Acyl-CoA dehydrogenase long chain"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACADM	"Acyl-CoA dehydrogenase medium chain"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACADS	"Acyl-CoA dehydrogenase short chain"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACADSB	"Acyl-CoA dehydrogenase short/branched chain"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACADVL	"Acyl-CoA dehydrogenase very long chain"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACAT1	"Acetyl-CoA acetyltransferase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACAT2	"Acetyl-CoA acetyltransferase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACE	"Angiotensin I converting enzyme"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACE2	"Angiotensin converting enzyme 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACER1	"Alkaline ceramidase 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ACER2	"Alkaline ceramidase 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ACER3	"Alkaline ceramidase 3"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ACHE	"Acetylcholinesterase (Cartwright blood group)"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ACLY	"ATP citrate lyase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACMSD	"Aminocarboxymuconate semialdehyde decarboxylase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACO1	"Aconitase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACO2	"Aconitase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACOD1	"Aconitate decarboxylase 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ACOT1	"Acyl-CoA thioesterase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACOT11	"Acyl-CoA thioesterase 11"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACOT12	"Acyl-CoA thioesterase 12"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ACOT13	"Acyl-CoA thioesterase 13"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACOT2	"Acyl-CoA thioesterase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACOT4	"Acyl-CoA thioesterase 4"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACOT6	"Acyl-CoA thioesterase 6"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"
ACOT7	"Acyl-CoA thioesterase 7"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACOT8	"Acyl-CoA thioesterase 8"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACOT9	"Acyl-CoA thioesterase 9"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACOX1	"Acyl-CoA oxidase 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ACOX2	"Acyl-CoA oxidase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACOX3	"Acyl-CoA oxidase 3, pristanoyl"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACP2	"Acid phosphatase 2, lysosomal"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ACP3	"Acid phosphatase 3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACP4	"Acid phosphatase 4"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ACP5	"Acid phosphatase 5, tartrate resistant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACP6	"Acid phosphatase 6, lysophosphatidic"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ACP7	"Acid phosphatase 7, tartrate resistant (putative)"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"
ACSBG1	"Acyl-CoA synthetase bubblegum family member 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ACSBG2	"Acyl-CoA synthetase bubblegum family member 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACSF2	"Acyl-CoA synthetase family member 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACSF3	"Acyl-CoA synthetase family member 3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACSL1	"Acyl-CoA synthetase long chain family member 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACSL3	"Acyl-CoA synthetase long chain family member 3"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ACSL4	"Acyl-CoA synthetase long chain family member 4"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACSL5	"Acyl-CoA synthetase long chain family member 5"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACSL6	"Acyl-CoA synthetase long chain family member 6"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACSM1	"Acyl-CoA synthetase medium chain family member 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ACSM2A	"Acyl-CoA synthetase medium chain family member 2A"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACSM2B	"Acyl-CoA synthetase medium chain family member 2B"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACSM3	"Acyl-CoA synthetase medium chain family member 3"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ACSM4	"Acyl-CoA synthetase medium chain family member 4"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"
ACSM5	"Acyl-CoA synthetase medium chain family member 5"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ACSS1	"Acyl-CoA synthetase short chain family member 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACSS2	"Acyl-CoA synthetase short chain family member 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACSS3	"Acyl-CoA synthetase short chain family member 3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACY1	"Aminoacylase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACY3	"Aminoacylase 3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ACYP1	"Acylphosphatase 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ACYP2	"Acylphosphatase 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ADA	"Adenosine deaminase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ADA2	"Adenosine deaminase 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ADCY1	"Adenylate cyclase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ADCY10	"Adenylate cyclase 10"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ADCY2	"Adenylate cyclase 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ADCY3	"Adenylate cyclase 3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ADCY4	"Adenylate cyclase 4"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ADCY5	"Adenylate cyclase 5"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ADCY6	"Adenylate cyclase 6"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ADCY7	"Adenylate cyclase 7"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ADCY8	"Adenylate cyclase 8"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ADCY9	"Adenylate cyclase 9"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ADH1A	"Alcohol dehydrogenase 1A (class I), alpha polypeptide"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ADH1B	"Alcohol dehydrogenase 1B (class I), beta polypeptide"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ADH1C	"Alcohol dehydrogenase 1C (class I), gamma polypeptide"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ADH4	"Alcohol dehydrogenase 4 (class II), pi polypeptide"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ADH5	"Alcohol dehydrogenase 5 (class III), chi polypeptide"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ADH6	"Alcohol dehydrogenase 6 (class V)"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ADH7	"Alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ADHFE1	"Alcohol dehydrogenase iron containing 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ADI1	"Acireductone dioxygenase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ADK	"Adenosine kinase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ADO	"2-aminoethanethiol dioxygenase"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ADPGK	"ADP dependent glucokinase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ADPRH	"ADP-ribosylarginine hydrolase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ADPRM	"ADP-ribose/CDP-alcohol diphosphatase, manganese dependent"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ADSL	"Adenylosuccinate lyase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ADSS1	"Adenylosuccinate synthase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ADSS2	"Adenylosuccinate synthase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AFMID	Arylformamidase	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
AGA	Aspartylglucosaminidase	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AGK	"Acylglycerol kinase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AGL	"Amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AGMAT	Agmatinase	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AGPAT1	"1-acylglycerol-3-phosphate O-acyltransferase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AGPAT2	"1-acylglycerol-3-phosphate O-acyltransferase 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
AGPAT3	"1-acylglycerol-3-phosphate O-acyltransferase 3"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
AGPAT4	"1-acylglycerol-3-phosphate O-acyltransferase 4"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
AGPAT5	"1-acylglycerol-3-phosphate O-acyltransferase 5"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AGPS	"Alkylglycerone phosphate synthase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AGT	Angiotensinogen	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AGXT	"Alanine--glyoxylate aminotransferase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AGXT2	"Alanine--glyoxylate aminotransferase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AHCTF1	"AT-hook containing transcription factor 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AHCY	Adenosylhomocysteinase	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AHCYL1	"Adenosylhomocysteinase like 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AHCYL2	"Adenosylhomocysteinase like 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AICDA	"Activation induced cytidine deaminase"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
AK1	"Adenylate kinase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AK2	"Adenylate kinase 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
AK3	"Adenylate kinase 3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AK4	"Adenylate kinase 4"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AK5	"Adenylate kinase 5"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AK6	"Adenylate kinase 6"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AK7	"Adenylate kinase 7"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AK8	"Adenylate kinase 8"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AK9	"Adenylate kinase 9"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AKR1A1	"Aldo-keto reductase family 1 member A1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AKR1B1	"Aldo-keto reductase family 1 member B"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AKR1B10	"Aldo-keto reductase family 1 member B10"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AKR1B15	"Aldo-keto reductase family 1 member B15"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AKR1C1	"Aldo-keto reductase family 1 member C1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AKR1C2	"Aldo-keto reductase family 1 member C2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AKR1C3	"Aldo-keto reductase family 1 member C3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AKR1C4	"Aldo-keto reductase family 1 member C4"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AKR1D1	"Aldo-keto reductase family 1 member D1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AKR7A2	"Aldo-keto reductase family 7 member A2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AKR7A3	"Aldo-keto reductase family 7 member A3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ALAD	"Aminolevulinate dehydratase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ALAS1	"5'-aminolevulinate synthase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ALAS2	"5'-aminolevulinate synthase 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ALB	Albumin	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ALDH18A1	"Aldehyde dehydrogenase 18 family member A1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ALDH1A1	"Aldehyde dehydrogenase 1 family member A1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ALDH1A2	"Aldehyde dehydrogenase 1 family member A2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ALDH1A3	"Aldehyde dehydrogenase 1 family member A3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ALDH1B1	"Aldehyde dehydrogenase 1 family member B1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ALDH1L1	"Aldehyde dehydrogenase 1 family member L1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ALDH1L2	"Aldehyde dehydrogenase 1 family member L2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ALDH2	"Aldehyde dehydrogenase 2 family member"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ALDH3A1	"Aldehyde dehydrogenase 3 family member A1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ALDH3A2	"Aldehyde dehydrogenase 3 family member A2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ALDH3B1	"Aldehyde dehydrogenase 3 family member B1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
ALDH3B2	"Aldehyde dehydrogenase 3 family member B2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"
ALDH4A1	"Aldehyde dehydrogenase 4 family member A1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ALDH5A1	"Aldehyde dehydrogenase 5 family member A1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ALDH6A1	"Aldehyde dehydrogenase 6 family member A1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ALDH7A1	"Aldehyde dehydrogenase 7 family member A1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ALDH8A1	"Aldehyde dehydrogenase 8 family member A1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ALDH9A1	"Aldehyde dehydrogenase 9 family member A1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ALDOA	"Aldolase, fructose-bisphosphate A"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
